source_transaction_id,source_type,transaction_date,reference,debit_account,credit_account,amount,status
1,deposit,2026-05-26 04:09:24,DEP20260526040924791,1010,2020,100000.00,SAFE
2,deposit,2026-05-26 04:10:16,DEP20260526041016733,1010,2020,60000.00,SAFE
3,deposit,2026-05-26 14:45:46,DEP20260526144546841,1010,2020,250000.00,SAFE
4,deposit,2026-05-26 14:55:30,DEP20260526145530917,1010,2020,900000.00,SAFE
5,withdrawal,2026-05-26 15:00:39,WTH20260526150039742,2020,1010,50000.00,SAFE
6,deposit,2026-05-27 18:17:58,DEP20260527181758971,1010,2020,50000.00,SAFE
7,deposit,2026-05-27 19:01:40,DEP20260527190140541,1010,2020,850000.00,SAFE
8,deposit,2026-05-27 19:15:49,DEP20260527191549509,1010,2020,750000.00,SAFE
9,withdrawal,2026-05-27 19:16:24,WTH20260527191623632,2020,1010,200000.00,SAFE
10,deposit,2026-05-28 12:27:43,DEP20260528122742133,1010,2020,20000.00,SAFE
11,deposit,2026-05-28 12:31:57,DEP20260528123157977,1020,2020,100000.00,SAFE
12,withdrawal,2026-05-28 12:35:25,WTH20260528123525973,2020,1020,25000.00,SAFE
13,deposit,2026-05-28 15:12:27,DEP20260528151227929,1020,2020,20000.00,SAFE
14,deposit,2026-05-28 15:18:24,DEP20260528151824626,1020,2020,150000.00,SAFE
15,withdrawal,2026-05-28 15:21:21,WTH20260528152121844,2020,1020,50000.00,SAFE
16,transfer_out,2026-05-29 16:17:14,SP20260529161713357,2020,2010,50000.00,SAFE
17,deposit,2026-06-17 10:14:00,DEP20260617101400801,1010,2020,50000.00,SAFE
18,deposit,2026-06-17 10:14:21,DEP20260617101421203,1010,2020,50000.00,SAFE
19,deposit,2026-06-17 12:24:36,DEP20260617122436537,1010,2020,900000.00,SAFE
20,withdrawal,2026-06-17 12:25:05,WTH20260617122505145,2020,1010,80000.00,SAFE
21,deposit,2026-06-17 12:25:55,DEP20260617122555146,1010,2020,1500000.00,SAFE
22,withdrawal,2026-06-17 12:26:32,WTH20260617122632820,2020,1010,600000.00,SAFE
23,deposit,2026-06-17 14:14:45,DEP20260617141445971,1010,2020,200000.00,SAFE
24,deposit,2026-06-17 14:15:35,DEP20260617141535986,1010,2020,200000.00,SAFE
25,deposit,2026-06-17 14:16:07,DEP20260617141607163,1010,2020,12000000.00,SAFE
26,deposit,2026-06-17 14:16:47,DEP20260617141647948,1010,2020,9000000.00,SAFE
27,withdrawal,2026-06-17 14:17:14,WTH20260617141714579,2020,1010,4000000.00,SAFE
28,withdrawal,2026-06-17 14:17:53,WTH20260617141753206,2020,1010,800000.00,SAFE
29,deposit,2026-06-17 20:05:36,DEP20260617200536364,1010,2020,400000.00,SAFE
30,withdrawal,2026-06-17 20:06:01,WTH20260617200601648,2020,1010,500000.00,SAFE
