transaction_id,member_id,transaction_date,transaction_type,amount,receipt_no,reference_no,matched_ledger_entry,backfill_safe
39,9,2026-06-17 20:06:01,withdrawal,500000.00,WTH20260617200601648,, ,Y
38,2,2026-06-17 20:05:36,deposit,400000.00,DEP20260617200536364,, ,Y
36,10,2026-06-17 14:17:53,withdrawal,800000.00,WTH20260617141753206,, ,Y
35,10,2026-06-17 14:17:14,withdrawal,4000000.00,WTH20260617141714579,, ,Y
34,8,2026-06-17 14:16:47,deposit,9000000.00,DEP20260617141647948,, ,Y
33,10,2026-06-17 14:16:07,deposit,12000000.00,DEP20260617141607163,, ,Y
32,11,2026-06-17 14:15:35,deposit,200000.00,DEP20260617141535986,, ,Y
31,10,2026-06-17 14:14:45,deposit,200000.00,DEP20260617141445971,, ,Y
30,9,2026-06-17 12:26:32,withdrawal,600000.00,WTH20260617122632820,, ,Y
29,9,2026-06-17 12:25:55,deposit,1500000.00,DEP20260617122555146,, ,Y
28,8,2026-06-17 12:25:05,withdrawal,80000.00,WTH20260617122505145,, ,Y
27,8,2026-06-17 12:24:36,deposit,900000.00,DEP20260617122436537,, ,Y
24,9,2026-06-17 10:14:21,deposit,50000.00,DEP20260617101421203,, ,Y
23,8,2026-06-17 10:14:00,deposit,50000.00,DEP20260617101400801,, ,Y
16,4,2026-05-29 16:17:14,transfer_out,50000.00,SP20260529161713357,SHR-3-1780060633, ,Y
15,7,2026-05-28 15:21:21,withdrawal,50000.00,WTH20260528152121844,, ,Y
14,7,2026-05-28 15:18:24,deposit,150000.00,DEP20260528151824626,, ,Y
13,7,2026-05-28 15:12:27,deposit,20000.00,DEP20260528151227929,, ,Y
12,6,2026-05-28 12:35:25,withdrawal,25000.00,WTH20260528123525973,, ,Y
11,6,2026-05-28 12:31:57,deposit,100000.00,DEP20260528123157977,, ,Y
10,6,2026-05-28 12:27:43,deposit,20000.00,DEP20260528122742133,, ,Y
9,4,2026-05-27 19:16:24,withdrawal,200000.00,WTH20260527191623632,, ,Y
8,4,2026-05-27 19:15:49,deposit,750000.00,DEP20260527191549509,, ,Y
7,5,2026-05-27 19:01:40,deposit,850000.00,DEP20260527190140541,, ,Y
6,4,2026-05-27 18:17:58,deposit,50000.00,DEP20260527181758971,, ,Y
5,3,2026-05-26 15:00:39,withdrawal,50000.00,WTH20260526150039742,made, ,Y
4,3,2026-05-26 14:55:30,deposit,900000.00,DEP20260526145530917,, ,Y
3,2,2026-05-26 14:45:46,deposit,250000.00,DEP20260526144546841,, ,Y
2,1,2026-05-26 04:10:16,deposit,60000.00,DEP20260526041016733,try, ,Y
1,1,2026-05-26 04:09:24,deposit,100000.00,DEP20260526040924791,, ,Y
